ResNet-OG-3-512 loss,ResNet-OG-3-512 acc
0.6011851856443617,0.8522222222222222
0.4949386053615146,0.8772222222222222
0.4341403922769758,0.8894444444444445
0.39583241621653237,0.8955555555555555
0.3769094118807051,0.9011111111111111
0.35443465259340073,0.9072222222222223
0.3344351257880529,0.9111111111111111
0.31822876513004306,0.9088888888888889
0.3147861437002818,0.9027777777777778
0.2894849669271045,0.9211111111111111
0.2900233731004927,0.9183333333333333
0.2851822514666451,0.9183333333333333
0.26738205075263977,0.9227777777777778
0.27827498098214465,0.9183333333333333
0.2617626643180847,0.9211111111111111
0.2598071679141786,0.9216666666666666
0.24735832664701674,0.9266666666666666
0.2476099436150657,0.9244444444444444
0.2491850960916943,0.9222222222222223
0.246399557656712,0.9277777777777778
0.24599794179201126,0.9233333333333333
0.24620238641897838,0.9227777777777778
0.23623680257134969,0.9272222222222222
0.2385930594139629,0.9238888888888889
0.22573378291394974,0.9322222222222222
0.23239023937119377,0.9222222222222223
0.23193312075403003,0.9288888888888889
0.22681810855865478,0.9294444444444444
0.22287161111831666,0.9288888888888889
0.2183623994059033,0.9333333333333333
0.21726460994945632,0.9338888888888889
0.21834451486666998,0.9288888888888889
0.21151686131954192,0.9327777777777778
0.21441308402352863,0.9311111111111111
0.21602207935518689,0.9305555555555556
0.21031372308731078,0.935
0.20969016167852614,0.9355555555555556
0.20978287643856472,0.9333333333333333
0.20133628020683925,0.9322222222222222
0.20820422540108363,0.9322222222222222
0.2087374531560474,0.9294444444444444
0.20648387438721127,0.9322222222222222
0.21134136175115903,0.9288888888888889
0.20924809296925861,0.9327777777777778
0.20425383061170577,0.9344444444444444
0.2017029430468877,0.9316666666666666
0.20138147711753845,0.9372222222222222
0.19751682948735025,0.9377777777777778
0.19876770267883936,0.9327777777777778
0.20077512085437774,0.9377777777777778
0.205000498758422,0.9383333333333334
0.20051199048757554,0.9366666666666666
0.19820885482761594,0.9366666666666666
0.20683161407709122,0.9316666666666666
0.2120953905913565,0.9388888888888889
0.2105208378036817,0.9327777777777778
0.2026446067293485,0.9355555555555556
0.19913660663697455,0.9394444444444444
0.19887418644295798,0.9344444444444444
0.19662501566939883,0.935
0.20421083788077035,0.9355555555555556
0.19483417166603936,0.935
0.1960570416516728,0.9377777777777778
0.20520961297882928,0.9333333333333333
0.2049569418364101,0.935
0.20428196175230873,0.9355555555555556
0.19959408313035965,0.9372222222222222
0.19985944128698774,0.9344444444444444
0.2119319573044777,0.9305555555555556
0.2068937228785621,0.93
0.20795650015274683,0.9277777777777778
0.20457204062077733,0.935
0.20258770734071732,0.9361111111111111
0.2066212249133322,0.9372222222222222
0.21409030629528894,0.93
