ResNet-PA2-2-512 loss,ResNet-PA2-2-512 acc
0.43605595268226927,0.8585086041539008
0.366066557999165,0.877849683724426
0.3361085772422293,0.8896161199650496
0.3110678157029318,0.8972643035214549
0.2960584093444679,0.9005000735489932
0.28783951672118696,0.9041770848128213
0.2768831966944277,0.90572142963077
0.2755289555060581,0.9073393146138556
0.26460216884438403,0.9126342109221363
0.2594707882225487,0.9127077510785068
0.25496618219562656,0.9141050153820808
0.2510873225330868,0.9163112222473312
0.24907916994138857,0.9163112221771977
0.2466931558870396,0.9179291071602835
0.23544352630391369,0.920208854190671
0.23914746784308252,0.9179291071602835
0.23372415420868448,0.9210177967435806
0.2285203545187603,0.9224886012736586
0.22891484277991622,0.9230033827890525
0.22612017593978695,0.923150463303427
0.22641182434323923,0.9231504632420602
0.22115068420809425,0.92528312987204
0.2233187508181555,0.9243271068661226
0.22212843620386136,0.9257243711696966
0.21693922540386348,0.9260920723635829
0.21305690499978444,0.9285188998382115
0.21305370631398024,0.9287395204563564
0.21348969031912665,0.9262391528165906
0.21231015024268113,0.9299897043682894
0.20863016636157003,0.9299897043682894
0.21049182940943484,0.9291807618153798
0.206853788778359,0.9290336814237388
0.20489282993612648,0.9287395205177232
0.20600008618419163,0.9301367848212972
0.20348006085488424,0.9301367847599306
0.20392213032857198,0.9302103250478011
0.20519451221585677,0.9288866009093643
0.19835843352850507,0.9319752904225279
0.20241522754044336,0.9319017501960241
0.19970264130194304,0.9316811295778791
0.20051909852479816,0.9300632445947934
0.1990118464683764,0.9321959111020396
0.20005849140825946,0.9316811295778791
0.20045189790461657,0.9327842329754376
0.19866060814707223,0.9321223708755357
0.19890510752700694,0.9316811295778791
0.1969036413667605,0.9320488307103986
0.1992629391020283,0.9325636122959259
0.20019882175524037,0.9307251065719617
0.19487869908619776,0.9328577732019414
0.19475885978589638,0.933372554726102
0.19756435588493138,0.9313869686718635
0.19517892006587975,0.9329313134284454
0.1934003293221664,0.9334460950139727
0.19482756777721164,0.9324165318429181
0.19317084510530824,0.934107956991141
0.19168384222839488,0.9341814972176449
0.1919655816960745,0.9332990144995981
0.19220367888656323,0.9322694513285436
0.191229006153623,0.9357258419742267
0.1926661666588435,0.9335931754669804
0.19044656241248242,0.9337402559199882
0.19330255736111016,0.9327106926875669
0.19065072938771366,0.9334460949526059
0.19077649762203877,0.9330048535935825
0.18932718097898413,0.935358140903074
0.1888410834701583,0.9351375202235623
0.18960020692471388,0.9351375202235623
0.1899753022220647,0.9330783938814532
0.19002350518275296,0.9335931754056137
0.1892796677997102,0.9345491983501644
0.19304943612142073,0.9327106926875669
0.19012041726856568,0.9350639799970584
0.18881381265484842,0.9350639799356917
0.18763503725190497,0.935505221294715
0.189332231005854,0.9348433592561799
